Student ID,Name,Grade Level,Age,Learning Style,Socioeconomic Status,Past Grades,Standardized Test Scores,Prior Knowledge,Course ID,Course Name,Course Difficulty,Class Size,Teaching Style,Coursework Load,Attendance,Study Time,Time of Year,Extracurricular Activities,Health,Home Environment,Actual Grade,cgpa
1001,Jamie Lee,Freshman,16,Visual,Middle Income,85.6,1250,Mathematics,102,Introduction to Computer Science,Medium,35,Lecture-based,"Exams, Projects",85,10,Fall Semester,Yes,Good,Quiet,B,3.5
1002,Aarav Patel,Sophomore,19,Auditory,Low Income,72.5,1050,None,201,Introduction to Psychology,Easy,20,Interactive,"Homework, Quizzes",80,7,Spring Semester,No,Average,Noisy,C,2.8
1003,Mia Chen,Junior,21,Kinesthetic,High Income,90.8,1450,Biology,300,Advanced Calculus,Hard,40,Activity-based,"Projects, Presentations",92,12,Fall Semester,Yes,Excellent,Quiet,A,3.9
1004,Elias Rodriguez,Freshman,17,Visual,Middle Income,88.3,1300,Physics,101,Introduction to Statistics,Medium,25,Lecture-based,"Exams, Projects",88,9,Spring Semester,No,Good,Quiet,B,3.2
1005,Fatima Ahmed,Sophomore,18,Auditory,Low Income,75.2,1100,None,202,Introduction to Philosophy,Easy,30,Interactive,"Homework, Quizzes",83,8,Fall Semester,Yes,Average,Noisy,C,3.6
1006,Liam Thompson,Junior,20,Kinesthetic,High Income,92.1,1400,Mathematics,301,Advanced Statistics,Hard,45,Activity-based,"Projects, Presentations",94,13,Spring Semester,No,Excellent,Quiet,A,4.1
1007,Sofia Garcia,Freshman,16,Visual,Middle Income,86.7,1280,None,103,Introduction to Sociology,Medium,35,Lecture-based,"Exams, Projects",86,10,Fall Semester,Yes,Good,Quiet,B,3.8
1008,Avery Johnson,Sophomore,19,Auditory,Low Income,70.5,1000,None,203,Introduction to Anthropology,Easy,22,Interactive,"Homework, Quizzes",79,7,Spring Semester,No,Average,Noisy,C,2.9
1009,Noah Brown,Junior,21,Kinesthetic,High Income,91.9,1420,Biology,302,Advanced Biology,Hard,40,Activity-based,"Projects, Presentations",93,12,Fall Semester,Yes,Excellent,Quiet,A,4.4
1010,Aria Patel,Freshman,17,Visual,Middle Income,89.6,1310,Mathematics,104,Introduction to Economics,Medium,28,Lecture-based,"Exams, Projects",88,9,Spring Semester,No,Good,Quiet,B,3.5
1011,Jasmine Davis,Sophomore,18,Auditory,Low Income,75.2,1150,None,204,Introduction to Psychology,Easy,25,Interactive,"Homework, Quizzes",78,8,Fall Semester,Yes,Average,Noisy,C,4.2
1012,Ethan Lee,Junior,22,Visual,Middle Income,88.3,1350,None,303,Advanced Physics,Hard,48,Activity-based,"Projects, Presentations",95,14,Spring Semester,No,Excellent,Quiet,A,2.9
1013,Avery Thompson,Freshman,17,Auditory,High Income,90.8,1380,None,105,Introduction to Computer Science,Medium,32,Lecture-based,"Exams, Projects",89,11,Fall Semester,Yes,Good,Quiet,B,3.4
1014,Isabella Rodriguez,Sophomore,19,Kinesthetic,Low Income,72.1,1050,None,205,Introduction to Philosophy,Easy,23,Interactive,"Homework, Quizzes",77,7,Spring Semester,No,Average,Noisy,C,4.5
1015,Oliver Chen,Junior,23,Visual,Middle Income,87.6,1330,None,304,Advanced Chemistry,Hard,46,Activity-based,"Projects, Presentations",94,13,Fall Semester,Yes,Excellent,Quiet,A,3.6
1016,Mia Garcia,Freshman,16,Auditory,Low Income,78.9,1120,None,106,Introduction to Anthropology,Easy,27,Lecture-based,"Homework, Quizzes",80,9,Spring Semester,No,Average,Noisy,C,3.2
1017,Noah Kim,Sophomore,18,Kinesthetic,High Income,84.5,1370,None,206,Introduction to Art History,Medium,30,Activity-based,"Projects, Presentations",91,10,Fall Semester,Yes,Good,Quiet,B,4.6
1018,Jasmine Lee,Junior,21,Visual,Middle Income,91.1,1410,None,305,Advanced Biology,Hard,44,Lecture-based,"Exams, Projects",96,15,Spring Semester,No,Excellent,Quiet,A,3.8
1019,Ethan Patel,Freshman,17,Auditory,Low Income,77.8,1180,None,107,Introduction to Sociology,Easy,24,Interactive,"Homework, Quizzes",83,8,Fall Semester,Yes,Average,Noisy,C,3.6
1020,Avery Thompson,Sophomore,19,Kinesthetic,High Income,82.3,1360,None,207,Introduction to Literature,Medium,36,Activity-based,"Projects, Presentations",92,12,Spring Semester,No,Excellent,Quiet,B,4.1
1021,Isabella Davis,Junior,23,Visual,Middle Income,92.6,1430,None,306,Advanced Physics,Hard,47,Lecture-based,"Exams, Projects",97,14,Fall Semester,Yes,Excellent,Quiet,A,3.9
1022,Mia Chen,Sophomore,18,Auditory,High Income,83.7,1380,None,208,Introduction to Psychology,Medium,32,Lecture-based,"Exams, Projects",90,10,Spring Semester,No,Good,Quiet,B,4.3
1023,Liam Anderson,Junior,21,Visual,Middle Income,90.5,1420,None,307,Advanced Chemistry,Hard,45,Interactive,"Homework, Quizzes",94,13,Fall Semester,Yes,Average,Quiet,A,4.1
1024,Ava Smith,Freshman,17,Kinesthetic,Low Income,78.2,1190,None,108,Introduction to Political Science,Easy,23,Activity-based,"Projects, Presentations",85,7,Spring Semester,Yes,Good,Noisy,C,2.8
1025,Ella Johnson,Sophomore,19,Auditory,High Income,81.6,1350,None,209,Introduction to Philosophy,Medium,35,Lecture-based,"Exams, Projects",93,11,Fall Semester,No,Excellent,Quiet,B,3.5
1026,Oliver Brown,Junior,22,Visual,Middle Income,93.1,1440,None,308,Advanced Math,Hard,46,Interactive,"Homework, Quizzes",98,15,Spring Semester,Yes,Excellent,Quiet,A,4.5
1027,Emma White,Freshman,16,Kinesthetic,Low Income,76.9,1170,None,109,Introduction to History,Easy,22,Activity-based,"Projects, Presentations",86,6,Fall Semester,No,Average,Noisy,C,3.2
1028,Aiden Green,Sophomore,18,Auditory,High Income,84.3,1390,None,210,Introduction to Economics,Medium,33,Lecture-based,"Exams, Projects",91,10,Spring Semester,No,Good,Quiet,B,4.8
1029,Mason Black,Junior,21,Visual,Middle Income,91.8,1430,None,309,Advanced Statistics,Hard,45,Interactive,"Homework, Quizzes",95,14,Fall Semester,Yes,Excellent,Quiet,A,3.8
1030,Sophia Gray,Freshman,17,Kinesthetic,Low Income,77.5,1180,None,110,Introduction to Art,Easy,21,Activity-based,"Projects, Presentations",87,7,Spring Semester,No,Average,Noisy,C,3.5
1031,James Wilson,Sophomore,19,Auditory,High Income,85.2,1370,None,211,Introduction to Anthropology,Medium,34,Lecture-based,"Exams, Projects",92,11,Fall Semester,No,Good,Quiet,B,3.9
1032,Grace Lee,Junior,22,Visual,Middle Income,92.9,1440,None,310,Advanced Physics Lab,Hard,46,Interactive,"Homework, Quizzes",96,13,Spring Semester,Yes,Excellent,Quiet,A,4.1
1033,Emily Chen,Senior,23,Auditory,Low Income,78.1,1160,None,220,Introduction to Psychology,Medium,36,Lecture-based,"Exams, Projects",89,12,Fall Semester,No,Average,Quiet,C,3.1
1034,Daniel Kim,Freshman,16,Visual,High Income,89.7,1320,None,120,Introduction to Computer Science,Medium,25,Interactive,"Homework, Quizzes",94,15,Spring Semester,Yes,Good,Quiet,B,3.9
1035,Olivia Brown,Sophomore,18,Kinesthetic,Middle Income,90.4,1410,None,230,Introduction to Philosophy,Easy,28,Activity-based,"Projects, Presentations",90,10,Fall Semester,No,Good,Quiet,B,4.1
1036,Alexander Johnson,Junior,21,Auditory,Low Income,82.5,1250,None,320,Advanced Chemistry Lab,Hard,47,Lecture-based,"Exams, Projects",85,13,Spring Semester,No,Average,Noisy,C,3
